date;close
02/01/2013;10000
03/01/2013;10050
04/01/2013;10100
07/01/2013;10080
08/01/2013;10120
09/01/2013;10180
10/01/2013;10250
11/01/2013;10200
14/01/2013;10280
15/01/2013;10190
16/01/2013;10240
17/01/2013;10300
18/01/2013;10350
21/01/2013;10400
22/01/2013;10480
23/01/2013;10550
24/01/2013;10600
25/01/2013;10580
28/01/2013;10650
29/01/2013;10720
30/01/2013;10780
31/01/2013;10850
01/02/2013;10920
04/02/2013;10980
05/02/2013;11050
06/02/2013;11120
07/02/2013;11200
08/02/2013;11280
11/02/2013;11350
12/02/2013;11420
13/02/2013;11500
14/02/2013;11580
