date;close
06/12/2005;59.83
07/12/2005;59.52
08/12/2005;59.86
09/12/2005;60.040001
12/12/2005;59.83
13/12/2005;60.029999
14/12/2005;60.29
15/12/2005;59.88
16/12/2005;59.95
19/12/2005;59.099998
20/12/2005;59.15
21/12/2005;59.39
22/12/2005;59.66
23/12/2005;59.14
27/12/2005;59.0
28/12/2005;59.12
29/12/2005;59.099998
30/12/2005;59.09
03/01/2006;59.9
04/01/2006;60.099998
05/01/2006;60.66
06/01/2006;61.3
09/01/2006;61.61
10/01/2006;62.24
11/01/2006;62.029999
12/01/2006;61.93
13/01/2006;61.09
17/01/2006;60.87
18/01/2006;60.77
19/01/2006;61.32
20/01/2006;60.6
23/01/2006;60.98
24/01/2006;61.27
25/01/2006;61.28
26/01/2006;61.73
27/01/2006;62.43
30/01/2006;62.12
31/01/2006;62.39
01/02/2006;62.68
02/02/2006;62.3
03/02/2006;61.66
06/02/2006;61.93
07/02/2006;61.43
08/02/2006;61.15
09/02/2006;61.47
10/02/2006;61.44
13/02/2006;61.42
14/02/2006;61.61
15/02/2006;62.22
16/02/2006;62.39
17/02/2006;62.74
21/02/2006;62.77
22/02/2006;63.49
23/02/2006;63.42
24/02/2006;63.14
27/02/2006;63.31
28/02/2006;63.07
01/03/2006;63.66
02/03/2006;63.23
03/03/2006;62.84
06/03/2006;63.62
07/03/2006;63.16
08/03/2006;63.5
09/03/2006;64.050003
10/03/2006;64.69
13/03/2006;64.41
14/03/2006;64.81
15/03/2006;65.69
16/03/2006;66.42
17/03/2006;66.83
20/03/2006;65.91
21/03/2006;65.12
22/03/2006;65.45
23/03/2006;65.62
24/03/2006;65.47
27/03/2006;65.010002
28/03/2006;65.62
29/03/2006;66.92
30/03/2006;66.16
31/03/2006;66.45
03/04/2006;65.18
04/04/2006;64.99
05/04/2006;65.56
06/04/2006;65.11
07/04/2006;64.35
10/04/2006;63.73
11/04/2006;63.31
12/04/2006;63.35
13/04/2006;62.68
17/04/2006;62.4
18/04/2006;63.76
19/04/2006;64.6
20/04/2006;64.59
21/04/2006;64.66
24/04/2006;64.27
25/04/2006;63.77
26/04/2006;63.77
27/04/2006;64.37
28/04/2006;64.34
01/05/2006;63.76
02/05/2006;63.31
03/05/2006;63.27
04/05/2006;64.07
05/05/2006;64.78
08/05/2006;64.95
09/05/2006;64.78
10/05/2006;64.67
11/05/2006;63.31
12/05/2006;62.49
15/05/2006;63.21
16/05/2006;62.99
17/05/2006;62.080002
18/05/2006;61.8
19/05/2006;61.8
22/05/2006;61.52
